specimen.id,treatment,sex,Csize,curvature
T437n4,dmrtTriple,female,195.438610925525,0.0403298289254723
T437n5,dmrtTriple,female,287.950613049453,0.063075503333897
T437n6,dmrtTriple,male,302.291985412191,0.0789210482426597
T437n7,dmrtTriple,male,160.773440580374,0.0309402759276318
T395n1,dmrt99B,female,267.169525873659,0.0614766618721423
T395n2,dmrt99B,male,189.549717811644,0.0273756492813732
T395n3,dmrt99B,male,224.7269948676,0.0348416371067335
T395n4,dmrt99B,male,254.209012865835,0.0417038015523647
T395n5,dmrt99B,female,246.981780704569,0.0533695260522801
T395n6,dmrt99B,female,271.844726922476,0.0544726834052253
T419n1,dmrt99B,male,233.700663242533,0.0421261693770952
T419n10,dmrt99B,female,231.376556960966,0.0917401591257775
T419n11,dmrt99B,female,277.535182954842,0.0617799823619
T419n12,dmrt99B,female,277.324434545633,0.0578684200512752
T419n13,dmrt99B,male,241.719764281791,0.0568608350812534
T419n14,dmrt99B,male,234.0674166892,0.0842382061665735
T419n15,dmrt99B,female,194.727795666002,0.0934214358322129
T419n16,dmrt99B,male,213.070671635284,0.0641372667190486
T419n17,dmrt99B,female,281.296996073545,0.0919924752963051
T419n2,dmrt99B,female,237.249048704333,0.0609045649738711
T419n3,dmrt99B,female,236.9209901118,0.0701476067109481
T419n4,dmrt99B,female,274.545280620722,0.0454491625915156
T419n5,dmrt99B,female,271.558465159899,0.0765084015668338
T419n6,dmrt99B,female,271.870884387751,0.0747134905395781
T419n7,dmrt99B,female,262.686970450467,0.0709912221472923
T419n8,dmrt99B,male,250.389918149895,0.0508303971980205
T419n9,dmrt99B,male,245.566917786397,0.0524150146082146
T428n1,dmrt99B,male,252.516226101303,0.0350024076806563
T428n2,dmrt99B,female,306.660869510423,0.0678187553116606
T428n6,dmrt99B,male,228.09159953356,0.0336326398985717
T428n7,dmrt99B,male,271.96731829803,0.0459668201028569
T428n8,dmrt99B,male,249.055103229073,0.0404342899622821
T432n1,dmrt99B,male,265.28475267154,0.0469086366462705
T432n2,dmrt99B,male,255.523862769105,0.0267598568930345
T432n3,dmrt99B,male,276.739749383584,0.0341166970044131
T432n4,dmrt99B,female,291.207448012199,0.07877280478551
T432n5,dmrt99B,female,272.716376886725,0.070502637126872
T434n1,dmrt99B,male,284.428471773758,0.0287754795073514
T434n2,dmrt99B,male,277.48233176987,0.0449057867737711
T434n3,dmrt99B,male,257.654376593486,0.0327442908632737
T434n4,dmrt99B,female,302.269930874891,0.0610832454182507
T434n5,dmrt99B,male,295.891872142511,0.043499611139479
T434n6,dmrt99B,male,292.627939730831,0.0574391437607143
T434n7,dmrt99B,male,286.775173262959,0.0388539868711395
T434n8,dmrt99B,female,306.066078558935,0.0766430090581755
T396n1,dmrt93B,male,239.613680332469,0.0295025185825899
T396n2,dmrt93B,female,266.641665494682,0.0298329455046663
T396n3,dmrt93B,female,258.190282974054,0.0705098798161003
T396n4,dmrt93B,female,281.105753132952,0.0554052034928593
T396n5,dmrt93B,female,290.183083969797,0.0635377499598703
T396n7,dmrt93B,male,222.517355050726,0.0272954888913719
